X,Y,OBJECTID,name_e,nom_f,Label_e,Etiquette_f,min_scale_echelle,max_scale_echelle,url_e,url_f,Facility_Type_Installation,Public_Access,Accessible
-115.762831563525,51.4093842717991,200937,Flint's Park,,Flint's Park,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.830845716389,51.3895531084794,200938,Block Lakes Junction,,Block Lakes Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.755464997843,51.3586971932453,200939,Sawback Lake,,Sawback Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.715634863926,51.2981345187361,200940,Mystic Junction,,Mystic Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.735244670792,51.2850465753251,200941,Mystic Valley,,Mystic Valley,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.823915348976,51.2948658688751,200942,Larry's Camp,,Larry's Camp,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.89887771715,51.3443424375287,200943,Johnston Creek,,Johnston Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.904931500067,51.3415576122216,200944,Luellen Lake,,Luellen Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.942605570877,51.3877014035077,200945,Badger Pass Junction,,Badger Pass Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.801574717182,51.4008865754074,200946,Upper Flint's Park,,Upper Flint's Park,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.824114687115,51.278246564985,200947,Ink Pots,,Ink Pots,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.856923908881,51.2568625162421,200948,Moose Meadows,,Moose Meadows,,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,
-115.719301352754,51.1791030452628,200949,Muleshoe,,Muleshoe,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.841561165416,51.2429934547313,200950,Johnston Canyon,,Johnston Canyon,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.764355581679,51.4073455709759,200951,Flint's Park,,Flint's Park,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.677854642223,51.2334265779889,200952,Cockscomb,,Cockscomb,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.683745408893,51.4100147990407,200953,Cuthead,,Cuthead,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.852418516551,51.318870693379,200954,Johnston Creek,,Johnston Creek,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.729957405086,51.5386291001714,200955,Windy,,Windy,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.714961902565,51.2939815769129,200956,Mystic,,Mystic,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.632974678554,51.3825865934967,200957,Cascade Road / Elk Trap,,Cascade Road / Elk Trap,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.77528471295,51.4040965781417,200958,Flint's Park,,Flint's Park,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.755624031463,51.3597102491298,200959,Sawback Slidepath,,Sawback Slidepath,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.735821139532,51.2854754832732,200960,Mystic Lake,,Mystic Lake,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.742240375675,51.5368352158737,200961,Upper Panther,,Upper Panther,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.941213373738,51.3870992645232,200962,Upper Johnston Creek,,Upper Johnston Creek,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.910951044018,51.2682660787812,200963,Castle Mountain,,Castle Mountain,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.915890178169,51.2686685650883,200964,Rockbound Lake,,Rockbound Lake,,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,
-115.768011769669,51.2164349483399,200965,Sawback,,Sawback,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.944394249564,51.2820820973569,200966,Storm Mountain,,Storm Mountain,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.839695494382,51.2454232953862,200967,Johnston Canyon,,Johnston Canyon,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.57036811712,51.1779774004655,200968,Banff,,Banff,,,,,,Visitor Centre / Interpretation Facility//Centre d'acceuil / Installation d'interprétation,Yes//Oui,
-115.515763869523,50.8922290011351,200969,Marvel Lake,,Marvel Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.5206248811,50.9012659984116,200970,McBride's Camp,,McBride's Camp,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.553939970935,50.9179928511404,200971,Allenby Junction,,Allenby Junction,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.654874596315,51.0868365727353,200972,Brewster Creek,,Brewster Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.746794599763,51.0370965592095,200973,Howard Douglas Lake,,Howard Douglas Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.824229060243,51.0936504939032,200974,Healy Creek,,Healy Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.910042117342,51.1470261400369,200975,Pharaoh Creek,,Pharaoh Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.944406865961,51.1685548443125,200976,Shadow Lake,,Shadow Lake,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.878527149359,51.1908459197294,200977,Lost Horse Creek,,Lost Horse Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.528567233175,51.1244671158637,200978,Mount Rundle,,Mount Rundle,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.408367486356,51.2794236210425,200979,Aylmer Canyon,,Aylmer Canyon,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.387237304285,51.276823254342,200980,Inglismaldie,,Inglismaldie,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.301420997191,51.2454291013677,200981,Mount Costigan,,Mount Costigan,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.280453891545,51.2528568634468,200982,The Narrows,,The Narrows,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.267112756759,51.2509334262509,200983,Ghost Lakes,,Ghost Lakes,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.533816364193,51.2879594314732,200984,Cascade Bridge,,Cascade Bridge,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.598503338318,51.3484175270359,200985,Stony Creek,,Stony Creek,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.851320383444,51.2414661600496,200986,Bow River Canoe,,Bow River Canoe,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,
-115.496246410522,51.230923318112,200987,Two Jack,,Two Jack,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.533935299827,51.2118150883028,200988,Cascade Ponds,,Cascade Ponds,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.58257716109,51.184206778246,200989,Forty Mile,,Forty Mile,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.557037551154,51.14822233403,200990,Sulphur Gondola,,Sulphur Gondola,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.574879113275,51.1443683427366,200991,Sulphur Gondola,,Sulphur Gondola,,,,,,Restaurant Area//Restaurants,Yes//Oui,
-115.505814021116,51.227643648558,200992,Two Jack Main,,Two Jack Main,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.500313560431,51.2229055182862,200993,Two Jack Lakeside,,Two Jack Lakeside,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-115.598628259894,51.2037190081057,200994,Mount Norquay,,Mount Norquay,,,,,,Ski Area//Aire de ski,Yes//Oui,
-115.489865521122,51.1991744289011,200995,Johnson Lake,,Johnson Lake,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.616974065773,51.1553443840454,200996,Sundance Canyon,,Sundance Canyon,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.34466198636,51.2580359614143,200997,Minnewanka,,Minnewanka,,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,
-115.450312726973,51.1652987062301,200998,Valley View,,Valley View,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.653768050146,51.1628801710929,200999,Five Mile,,Five Mile,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-115.93337878891,51.2625617696167,201000,Twin Lakes,,Twin Lakes,,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,
-115.685510525829,51.1538207302205,201001,Brewster Creek Trailhead Corral,,Brewster Creek Trailhead Corral,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
-115.685510525829,51.1538207302205,201002,Brewster Creek,,Brewster Creek,,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,
-115.598107508513,51.2010078167298,201003,Norquay Corrals,,Norquay Corrals,,,,,,Horse facility//Installation pour cheval,Yes//Oui,
