X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Descr_e,Descr_f,min_scale_echelle,max_scale_echelle,D_Source,D_Source_Code,url_e,url_f,Principal_type
-115.84104337319,51.2464171613266,104358,Johnston Canyon Resort,,,"cabins, store",,,,,,,,Accommodation//Dépanneur
-115.916909462097,51.2675288705783,104359,Castle Mountain,,,cabins,,,,,,,,Accommodation//Dépanneur
-115.728907162053,51.4191419354827,104360,Banff Trail Riders - Flints Park,,,,,,,,,,,Campground (non PCA)//Terrain de camping (non APC)
-115.703714662386,51.2819365785523,104361,Banff Trail Riders - Mystic,,,,,,,,,,,Campground (non PCA)//Terrain de camping (non APC)
-115.812696530404,51.2318057579347,104362,Eastbound 18,,,"Parking 9;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.812335859215,51.2313397277523,104363,Pilot Pond,,Lizard Lake,"Parking 8; Trailhead; Interp",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.78344713037,51.2231438181571,104364,Hillsdale Meadow,,,"Parking 8; Hillsdale Meadow",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.772306070572,51.2181122483718,104365,Eastbound 21,,,"Parking 9;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.763362409904,51.2148064278918,104366,Eastbound 22,,,"Parking 13; Sawback pull over",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.759887270264,51.2132223276807,104367,Eastbound 23,,,"Parking 13;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.756876239664,51.2096782885728,104368,Eastbound 24,,,"Parking 9;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.750920649572,51.2054040284304,104369,Eastbound 25,,,"Parking 10;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.749020969327,51.2030745279474,104370,Eastbound 26,,,"Parking 9;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.726193110665,51.1877549183884,104371,Eastbound 27,,,"Parking 7;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.711902550761,51.1734838979521,104372,Eastbound 31,,,"Parking 5;",,,,,,,,Interpretation Sign//Placard d'interprétation
-115.695917430057,51.168841488356,104373,Backswamp,,,"Parking10; interp",,,,,,,,Lookout/Lookoff//Belvédère
