X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Description,min_scale_echelle,max_scale_echelle,CONCISCODE
-114.436393141951,49.6073748057628,930646,Blairmore,Blairmore,,,,,Unincorporated area//Lieu non organisé
-114.495316360112,49.6365450019932,930647,Coleman,Coleman,,,,,Unincorporated area//Lieu non organisé
-114.565960374279,49.6304581932441,930648,Savanna,Savanna,,,,,Unincorporated area//Lieu non organisé
-115.38711653424,50.7080898747856,930649,Palliser Pass,Palliser Pass,,,,,Valley//Vallée
-115.303045117544,50.7133068844304,930650,Haig Glacier,Haig Glacier,,330,,,Glacier//Glacier
-115.578253410478,50.8425986613586,930651,Marvel Pass,Marvel Pass,,,,,Valley//Vallée
-115.593696727765,50.8916540632046,930652,Wonder Pass,Wonder Pass,,,,,Valley//Vallée
-115.57682194418,50.959032768533,930653,Allenby Pass,Allenby Pass,,,,,Valley//Vallée
-115.611656847629,50.9495862649662,930654,Og Pass,Og Pass,,,,,Valley//Vallée
-115.537053337582,50.9671769735594,930655,Brewster Glacier,Brewster Glacier,,330,,,Glacier//Glacier
-115.605280739793,50.9263294637625,930656,Assiniboine Pass,Assiniboine Pass,,,,,Valley//Vallée
-115.319007943368,50.7930717883174,930657,Hogarth Lakes,Hogarth Lakes,,,,,Lake//Lac
-115.375770446327,50.7620192793534,930658,Burstall Pass,Burstall Pass,,,,,Valley//Vallée
-115.42610588049,50.8443430793375,930659,Karst Springs,Karst Springs,,160,,,Spring//Source
-115.322961342416,50.7870485864621,930660,Burstall Lakes,Burstall Lakes,,,,,Lake//Lac
-115.493782374463,50.7788619671631,930661,White Man Pass,White Man Pass,,,,,Valley//Vallée
-116.046408817238,51.2321323315031,930662,Altrude Lakes,Altrude Lakes,,,,,Lake//Lac
-116.050002717144,51.2275725304912,930663,Vermilion Pass,Vermilion Pass,,,,,Valley//Vallée
-116.254662608333,51.7289889365708,930664,Devon Lakes,Devon Lakes,,,,,Lake//Lac
-116.661188674287,51.9993486052534,930665,North Saskatchewan River,Rivière Saskatchewan Nord,,,,,River//Cours d'eau
-116.54802202456,51.912667712671,930666,Siffleur Wilderness Area,Siffleur,,,,,Conservation area//Zone de préservation
-116.192227630277,51.8404419507955,930667,Ram River Glacier,Ram River Glacier,,330,,,Glacier//Glacier
-116.48874903697,51.993937724379,930668,Spreading Creek,Spreading Creek,,,,,River//Cours d'eau
-115.27211060496,51.0400397090391,930669,Dead Man Flat,Dead Man Flat,,,,,Plain//Plaine
-115.383561452968,51.127103802201,930670,Harvie Heights,Harvie Heights,,,,,Unincorporated area//Lieu non organisé
-115.347926433277,51.0883740034792,930671,Canmore,Canmore,,20,,,Town//Ville
-115.264053301877,51.039875109958,930672,Dead Man's Flats,Dead Man's Flats,,,,,Unincorporated area//Lieu non organisé
-115.307572522144,51.0770659076701,930673,Indian Flat,Indian Flat,,,,,Plain//Plaine
-115.404266224332,51.0158310927712,930674,Goat Pond,Goat Pond,,,,,Lake//Lac
-115.477089683368,51.1678122937799,930675,Cascade River,Cascade River,,,,,River//Cours d'eau
-115.49781948749,51.1686013916991,930676,Bow River,Bow River,,,,,River//Cours d'eau
-115.405547541273,51.0729726954432,930677,Grassi Lakes,Grassi Lakes,,,,,Lake//Lac
-115.251344696604,51.0320568102823,930678,Lower Spray Falls,Lower Spray Falls,,,,,Falls//Chute
-115.251224997529,51.0315095107287,930679,Upper Spray Falls,Upper Spray Falls,,,,,Falls//Chute
-115.332687825158,51.0687791035867,930680,Policeman Creek,Policeman Creek,,,,,River//Cours d'eau
-115.411703241582,51.0693645952224,930681,Whitemans Pond,Whitemans Pond,,,,,Lake//Lac
-115.317907170042,51.2389212165672,930682,Lake Minnewanka,Lake Minnewanka,,,,,Lake//Lac
-115.83301763184,51.0844675477849,930683,Simpson Pass,Simpson Pass,,,,,Valley//Vallée
-115.837339781477,51.249756557162,930684,Johnston Canyon,Johnston Canyon,,,,,Valley//Vallée
-115.705821531302,51.1715953673322,930685,Sawback,Sawback,,,,,Unincorporated area//Lieu non organisé
-115.594188010268,51.1807779806509,930686,Vermilion Lakes,Vermilion Lakes,,,,,Lake//Lac
-115.71486778985,51.024122857529,930687,Citadel Pass,Citadel Pass,,,,,Valley//Vallée
-115.788457863465,51.2260853614582,930688,Massive,Massive,,,,,Unincorporated area//Lieu non organisé
-115.885676444125,51.0908928421572,930689,Redearth Pass,Redearth Pass,,,,,Valley//Vallée
-115.866606241716,51.0927433440311,930690,Healy Pass,Healy Pass,,,,,Valley//Vallée
-115.982234396912,51.2022065378638,930691,Twin Lakes,Twin Lakes,,,,,Lake//Lac
-115.931149859434,51.1128234382196,930692,Whistling Valley,Whistling Valley,,,,,Valley//Vallée
-115.963900488555,51.1862015385279,930693,Gibbon Pass,Gibbon Pass,,,,,Valley//Vallée
-115.568953005257,51.1807553841727,930694,Banff,Banff,,20,,,Town//Ville
-115.584032409154,51.1808935815145,930695,Echo Creek,Echo Creek,,,,,River//Cours d'eau
-115.67643923542,51.2050165733416,930696,Cory Pass,Cory Pass,,,,,Valley//Vallée
-115.685447382163,51.0146443603325,930697,Fatigue Pass,Fatigue Pass,,,,,Valley//Vallée
-115.717926034482,51.1752416665445,930698,Mule Shoe Lake,Mule Shoe Lake,,,,,Lake//Lac
-115.989001176933,51.1290058318115,930699,Ball Pass,Ball Pass,,,,,Valley//Vallée
-115.738467618794,51.1091798594452,930700,Goat's Eye,Goat's Eye,,,,,Cave//Caverne
-115.562318381161,51.1028085790446,930701,Sundance Pass,Sundance Pass,,,,,Valley//Vallée
-115.610234704157,51.1496865776353,930702,Sundance Canyon,Sundance Canyon,,,,,Valley//Vallée
-115.756577561562,51.2411974657467,930703,Ranger Canyon,Ranger Canyon,,,,,Valley//Vallée
-115.561501300806,51.1679735835067,930704,Bow Falls,Bow Falls,,,,,Falls//Chute
-115.673127035068,51.2118657737966,930705,Gargoyle Valley,Gargoyle Valley,,,,,Valley//Vallée
