X,Y,OBJECTID,name_e,nom_f,url_e,url_f,site_num_site,min_scale_echelle,max_scale_echelle,PreserveGlobal
-115.544676630083,51.1898301981108,1259579,Tunnel Mountain Village 2,,,,D020,2000,,
-115.544545030971,51.189872777639,1259580,Tunnel Mountain Village 2,,,,D021,2000,,
-115.544154351106,51.1899104089584,1259581,Tunnel Mountain Village 2,,,,D022,2000,,
-115.54396668135,51.1895426182054,1259582,Tunnel Mountain Village 2,,,,D023,2000,,
-115.544063741047,51.1893530179945,1259583,Tunnel Mountain Village 2,,,,D024,2000,,
-115.543760150681,51.1894478989789,1259584,Tunnel Mountain Village 2,,,,D025,2000,,
-115.54360173013,51.1896649082357,1259585,Tunnel Mountain Village 2,,,,D026,2000,,
-115.543533089781,51.1898772188895,1259586,Tunnel Mountain Village 2,,,,D027,2000,,
-115.543569129842,51.1899471280557,1259587,Tunnel Mountain Village 2,,,,D028,2000,,
-115.543882531681,51.1899198882347,1259588,Tunnel Mountain Village 2,,,,D029,2000,,
-115.545171330864,51.1891108585239,1259589,Tunnel Mountain Village 2,,,,D001,2000,,
-115.545517001451,51.1890769990745,1259590,Tunnel Mountain Village 2,,,,D002,2000,,
-115.545615901301,51.189210777926,1259591,Tunnel Mountain Village 2,,,,D003,2000,,
-115.546014630286,51.1892225083192,1259592,Tunnel Mountain Village 2,,,,D004,2000,,
-115.546093421446,51.1893800081332,1259593,Tunnel Mountain Village 2,,,,D005,2000,,
-115.545612659306,51.1893922383319,1259594,Tunnel Mountain Village 2,,,,D006,2000,,
-115.545334440629,51.189266677695,1259595,Tunnel Mountain Village 2,,,,D007,2000,,
-115.545426469433,51.1893325679281,1259596,Tunnel Mountain Village 2,,,,D008,2000,,
-115.545823270523,51.189444548545,1259597,Tunnel Mountain Village 2,,,,D009,2000,,
-115.545567461086,51.1894801685551,1259598,Tunnel Mountain Village 2,,,,D010,2000,,
-115.544919030248,51.1893261982775,1259599,Tunnel Mountain Village 2,,,,D011,2000,,
-115.545031271721,51.1893745578933,1259600,Tunnel Mountain Village 2,,,,D012,2000,,
-115.545018110645,51.1894333986504,1259601,Tunnel Mountain Village 2,,,,D013,2000,,
-115.544744940674,51.1892505081261,1259602,Tunnel Mountain Village 2,,,,D014,2000,,
-115.544505131188,51.1893646676855,1259603,Tunnel Mountain Village 2,,,,D015,2000,,
-115.544638240224,51.1893914083851,1259604,Tunnel Mountain Village 2,,,,D016,2000,,
-115.544712421681,51.1894922376771,1259605,Tunnel Mountain Village 2,,,,D017,2000,,
-115.544264321081,51.1894411991938,1259606,Tunnel Mountain Village 2,,,,D018,2000,,
-115.544155611078,51.1895024681949,1259607,Tunnel Mountain Village 2,,,,D019,2000,,
-115.547282610774,51.1863576774467,1259608,Tunnel Mountain Village 2,,,,C013,2000,,
-115.547153075023,51.1862062611599,1259609,Tunnel Mountain Village 2,,,,C014,2000,,
-115.546843357861,51.1863395614117,1259610,Tunnel Mountain Village 2,,,,C012,2000,,
-115.546976050386,51.1864973472635,1259611,Tunnel Mountain Village 2,,,,C011,2000,,
-115.546625991065,51.186632255863,1259612,Tunnel Mountain Village 2,,,,C009,2000,,
-115.546512641417,51.1865000299484,1259613,Tunnel Mountain Village 2,,,,C010,2000,,
-115.54633527925,51.1868016615994,1259614,Tunnel Mountain Village 2,,,,C007,2000,,
-115.546169161244,51.1866392397874,1259615,Tunnel Mountain Village 2,,,,C008,2000,,
-115.545961119567,51.1867421521519,1259616,Tunnel Mountain Village 2,,,,C006,2000,,
-115.546134214637,51.186896220932,1259617,Tunnel Mountain Village 2,,,,C005,2000,,
-115.545919325727,51.1870032677477,1259618,Tunnel Mountain Village 2,,,,C003,2000,,
-115.545765968605,51.1868621040996,1259619,Tunnel Mountain Village 2,,,,C004,2000,,
-115.545531407141,51.1869541365411,1259620,Tunnel Mountain Village 2,,,,C002,2000,,
-115.545688120005,51.1870953425087,1259621,Tunnel Mountain Village 2,,,,C001,2000,,
-115.545298633494,51.186776115212,1259622,Tunnel Mountain Village 2,,,,C015,2000,,
-115.545151591982,51.1866476885154,1259623,Tunnel Mountain Village 2,,,,C016,2000,,
-115.545522595106,51.1867008311331,1259624,Tunnel Mountain Village 2,,,,C017,2000,,
-115.545400837897,51.186515750289,1259625,Tunnel Mountain Village 2,,,,C018,2000,,
-115.54574339722,51.1866191776793,1259626,Tunnel Mountain Village 2,,,,C019,2000,,
-115.545984669995,51.1865272284433,1259627,Tunnel Mountain Village 2,,,,C021,2000,,
-115.546223114746,51.1864183633615,1259628,Tunnel Mountain Village 2,,,,C023,2000,,
-115.546158212167,51.1862403203911,1259629,Tunnel Mountain Village 2,,,,C024,2000,,
-115.547080727264,51.1860513350513,1259630,Tunnel Mountain Village 2,,,,C029,2000,,
-115.54673818048,51.1861610185168,1259631,Tunnel Mountain Village 2,,,,C027,2000,,
-115.546529201454,51.1860803532463,1259632,Tunnel Mountain Village 2,,,,C026,2000,,
-115.546886300255,51.185934982552,1259633,Tunnel Mountain Village 2,,,,C028,2000,,
-115.545614930132,51.1864340135676,1259634,Tunnel Mountain Village 2,,,,C020,2000,,
-115.545883049021,51.1863423987212,1259635,Tunnel Mountain Village 2,,,,C022,2000,,
-115.546424508991,51.1863132584114,1259636,Tunnel Mountain Village 2,,,,C025,2000,,
-115.544908186501,51.1863809157817,1259637,Tunnel Mountain Village 2,,,,C030,2000,,
-115.545029306905,51.1864794806412,1259638,Tunnel Mountain Village 2,,,,C031,2000,,
-115.545173416073,51.1862744960585,1259639,Tunnel Mountain Village 2,,,,C032,2000,,
-115.545263933559,51.1863853402645,1259640,Tunnel Mountain Village 2,,,,C033,2000,,
-115.545384215397,51.1861906092596,1259641,Tunnel Mountain Village 2,,,,C034,2000,,
-115.545521720239,51.1863020366004,1259642,Tunnel Mountain Village 2,,,,C035,2000,,
-115.545594617913,51.1861193770954,1259643,Tunnel Mountain Village 2,,,,C036,2000,,
-115.545790037322,51.1862040947974,1259644,Tunnel Mountain Village 2,,,,C037,2000,,
-115.545941651584,51.1859738829023,1259645,Tunnel Mountain Village 2,,,,C038,2000,,
-115.546109559284,51.1860793590211,1259646,Tunnel Mountain Village 2,,,,C039,2000,,
-115.546284796599,51.1858452201685,1259647,Tunnel Mountain Village 2,,,,C040,2000,,
-115.546449944346,51.1859316712589,1259648,Tunnel Mountain Village 2,,,,C041,2000,,
-115.546570220652,51.1857369388369,1259649,Tunnel Mountain Village 2,,,,C042,2000,,
-115.546751885998,51.185832034002,1259650,Tunnel Mountain Village 2,,,,C043,2000,,
-115.544009286844,51.1888829614041,1259651,Tunnel Mountain Village 2,,,,B001,2000,,
-115.543901413434,51.1887101848716,1259652,Tunnel Mountain Village 2,,,,B002,2000,,
-115.544336315512,51.1887604335673,1259653,Tunnel Mountain Village 2,,,,B003,2000,,
-115.544265950363,51.1885960356805,1259654,Tunnel Mountain Village 2,,,,B004,2000,,
-115.54474197546,51.1886731694488,1259655,Tunnel Mountain Village 2,,,,B005,2000,,
-115.544751901677,51.1884913082042,1259656,Tunnel Mountain Village 2,,,,B006,2000,,
-115.545125162584,51.1886330989126,1259657,Tunnel Mountain Village 2,,,,B007,2000,,
-115.545105470446,51.1884587828868,1259658,Tunnel Mountain Village 2,,,,B008,2000,,
-115.543529323091,51.1882650974052,1259659,Tunnel Mountain Village 2,,,,B009,2000,,
-115.543445959166,51.1881137246521,1259660,Tunnel Mountain Village 2,,,,B010,2000,,
-115.543860129332,51.1881558054106,1259661,Tunnel Mountain Village 2,,,,B011,2000,,
-115.543781043102,51.188001848574,1259662,Tunnel Mountain Village 2,,,,B012,2000,,
-115.544163987942,51.188069254363,1259663,Tunnel Mountain Village 2,,,,B013,2000,,
-115.54405947943,51.1879228940716,1259664,Tunnel Mountain Village 2,,,,B014,2000,,
-115.54442943048,51.1879696966883,1259665,Tunnel Mountain Village 2,,,,B015,2000,,
-115.544337093562,51.1878366752421,1259666,Tunnel Mountain Village 2,,,,B016,2000,,
-115.544705736581,51.1878584055434,1259667,Tunnel Mountain Village 2,,,,B017,2000,,
-115.544617343205,51.1877333449424,1259668,Tunnel Mountain Village 2,,,,B018,2000,,
-115.544971738469,51.1877410502956,1259669,Tunnel Mountain Village 2,,,,B019,2000,,
-115.544883345912,51.1876159896899,1259670,Tunnel Mountain Village 2,,,,B020,2000,,
-115.545244748549,51.1876343319939,1259671,Tunnel Mountain Village 2,,,,B021,2000,,
-115.545537322417,51.1875060976781,1259672,Tunnel Mountain Village 2,,,,B023,2000,,
-115.545419646192,51.1873780362234,1259673,Tunnel Mountain Village 2,,,,B024,2000,,
-115.545124986701,51.1875059150986,1259674,Tunnel Mountain Village 2,,,,B022,2000,,
-115.543327464842,51.1880116960368,1259675,Tunnel Mountain Village 2,,,,B025,2000,,
-115.543221952563,51.1878640037125,1259676,Tunnel Mountain Village 2,,,,B026,2000,,
-115.544258286741,51.187740416003,1259677,Tunnel Mountain Village 2,,,,B033,2000,,
-115.545164324977,51.1871562822969,1259678,Tunnel Mountain Village 2,,,,B040,2000,,
-115.545273610137,51.1872842393746,1259679,Tunnel Mountain Village 2,,,,B039,2000,,
-115.544614547928,51.1874224198961,1259680,Tunnel Mountain Village 2,,,,B036,2000,,
-115.54457710346,51.1876118512744,1259681,Tunnel Mountain Village 2,,,,B035,2000,,
-115.544870624116,51.1874869272078,1259682,Tunnel Mountain Village 2,,,,B037,2000,,
-115.543829280031,51.1878695872618,1259683,Tunnel Mountain Village 2,,,,B029,2000,,
-115.544044796483,51.1878228172049,1259684,Tunnel Mountain Village 2,,,,B031,2000,,
-115.543572048458,51.1879415521807,1259685,Tunnel Mountain Village 2,,,,B027,2000,,
-115.543919779472,51.1876946632683,1259686,Tunnel Mountain Village 2,,,,B030,2000,,
-115.543618063812,51.1877799210777,1259687,Tunnel Mountain Village 2,,,,B028,2000,,
-115.544898690194,51.187295400784,1259688,Tunnel Mountain Village 2,,,,B038,2000,,
-115.54345825184,51.1876572682516,1259689,Tunnel Mountain Village 2,,,,B041,2000,,
-115.543146352814,51.187566348638,1259690,Tunnel Mountain Village 2,,,,B042,2000,,
